"r"	"s"	"measurementID"	"pvalues"	"overallPvalues"	"monotonic"	"dfaSuccessRate"	"wilkesLambda"	"PillaiPval"	"HotellingPval"	"RoyPval"	"dfaID"	"nvars"
0	1	8213	0.116226293156156	0.279285739653408	FALSE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	220	0.124990076687829	0.201867604662773	TRUE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	204	0.306363542619831	0.826581753956526	TRUE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	1227	0.0720316143449602	0.0536690766074831	TRUE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	7022	0.543156471198555	0.20172850191712	FALSE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	7349	0.160997380387993	0.500366929286921	FALSE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	6194	0.0918350585670904	0.0779449563181375	TRUE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	8283	0.00520383510021327	0.00129545266596937	TRUE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	5403	0.947984889728751	0.917180870147073	TRUE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	5947	0.468675346439848	0.805477756069037	FALSE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	7516	0.471632484538905	0.384045135770597	FALSE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	6306	0.382799083532885	0.633952033068788	FALSE	0.659574468085106	0.00439955051089802	0.0162261604663944	0.000930267876296203	3.01088600115587e-05	1	12
0	1	1873	0.209083207722844	0.628415853767062	FALSE	0.595744680851064	0.174501406118384	0.199573775556679	0.151772160633862	0.00726938180264786	2	7
0	1	7771	0.874373904556222	0.773807268441745	TRUE	0.595744680851064	0.174501406118384	0.199573775556679	0.151772160633862	0.00726938180264786	2	7
0	1	4549	0.878870033283304	0.596978215236399	FALSE	0.595744680851064	0.174501406118384	0.199573775556679	0.151772160633862	0.00726938180264786	2	7
0	1	8947	0.825283044039156	0.846534321671867	FALSE	0.595744680851064	0.174501406118384	0.199573775556679	0.151772160633862	0.00726938180264786	2	7
0	1	2435	0.479457567710937	0.108542293675138	FALSE	0.595744680851064	0.174501406118384	0.199573775556679	0.151772160633862	0.00726938180264786	2	7
0	1	3133	0.778853235166002	0.104064266668903	FALSE	0.595744680851064	0.174501406118384	0.199573775556679	0.151772160633862	0.00726938180264786	2	7
0	1	782	0.675255789929385	0.841041638727126	FALSE	0.595744680851064	0.174501406118384	0.199573775556679	0.151772160633862	0.00726938180264786	2	7
0	1	1620	0.986326321700623	0.608044448875173	FALSE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	7830	0.0213429241731402	0.093027673493066	FALSE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	8162	0.0628751003217509	0.260395910435796	TRUE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	3006	0.597811194717405	0.441889242119195	FALSE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	2557	0.970150807663231	0.885670507042441	FALSE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	6139	0.940710097636902	0.3502091418663	TRUE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	2733	0.646177549261236	0.00234925367665887	FALSE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	6378	0.924160898258896	0.997465956184026	FALSE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	7854	0.85017929243614	0.369230211758979	TRUE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	8805	0.376545660299171	0.835819723631123	FALSE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	329	0.84981242041159	0.874676795061207	FALSE	0.617021276595745	0.0694607816238132	0.0729741286038295	0.0675710826928922	0.00767282475930141	3	11
0	1	7595	0.580673621541446	0.725368502368392	FALSE	0.617021276595745	0.243752306958784	0.248044153675074	0.242000789647312	0.0258475877602704	4	8
0	1	3677	0.259896774377702	0.665707797282528	TRUE	0.617021276595745	0.243752306958784	0.248044153675074	0.242000789647312	0.0258475877602704	4	8
0	1	677	0.123731708879506	0.0148045757478086	FALSE	0.617021276595745	0.243752306958784	0.248044153675074	0.242000789647312	0.0258475877602704	4	8
0	1	8255	0.906478400523653	0.815491349817344	FALSE	0.617021276595745	0.243752306958784	0.248044153675074	0.242000789647312	0.0258475877602704	4	8
0	1	6620	0.873963204550224	0.530810605049156	TRUE	0.617021276595745	0.243752306958784	0.248044153675074	0.242000789647312	0.0258475877602704	4	8
0	1	5331	0.973145746759134	0.888913045954448	FALSE	0.617021276595745	0.243752306958784	0.248044153675074	0.242000789647312	0.0258475877602704	4	8
0	1	109	0.222646689728633	0.710008448789457	FALSE	0.617021276595745	0.243752306958784	0.248044153675074	0.242000789647312	0.0258475877602704	4	8
0	1	5585	0.514651922132463	0.561877089602152	FALSE	0.617021276595745	0.243752306958784	0.248044153675074	0.242000789647312	0.0258475877602704	4	8
0	1	7920	0.342466306938665	0.781591654098714	TRUE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	2010	0.422571661348463	0.145206603482818	FALSE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	2422	0.696633062845203	0.529933781675926	TRUE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	6701	0.59009749999719	0.837663702170845	TRUE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	2966	0.30942677511288	0.200438967909666	FALSE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	3434	0.721465758835866	0.762266891814956	TRUE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	4859	0.231306100192976	0.499641173760949	TRUE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	5545	0.888372095651043	0.376705525231233	FALSE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	2690	0.356388113204919	0.649578051815697	FALSE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	7188	0.890938918256717	0.999264960305478	FALSE	0.553191489361702	0.783761930342031	0.769010234850716	0.798953634830265	0.168472308628846	5	10
0	1	9035	0.538366124778707	0.945655884600908	TRUE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	4693	0.311805446001808	0.747364078671945	TRUE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	4713	0.143132585593494	0.117025500840656	FALSE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	2113	0.127775805291752	0.210521648287311	TRUE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	7152	0.618312653314895	0.68444761077548	FALSE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	8533	0.603155297223015	0.758027691356933	FALSE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	3591	0.177200933283784	0.00648373687947335	TRUE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	9636	0.546867781879646	0.888107593977417	TRUE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	8654	0.650593583457656	0.137939639077013	TRUE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	6932	0.140038739353136	0.235457450695742	TRUE	0.638297872340426	0.0111860652897709	0.0221160123649201	0.00546518416280372	0.000266157869514225	6	10
0	1	6048	0.734667635247808	0.99306517184115	TRUE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	225	0.543185543516475	0.67980611065331	TRUE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	7660	0.839369127451497	0.524694890926533	FALSE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	1551	0.174129518031994	0.0147541147033747	TRUE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	6078	0.57437011721713	0.0332471927014369	TRUE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	9460	0.847264391315169	0.572709696680551	FALSE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	217	0.148112645087381	0.27054021603132	FALSE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	513	0.624569390050839	0.0604287814689776	TRUE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	7731	0.967692732910691	0.583808180967276	TRUE	0.638297872340426	0.0174659405707269	0.0194966086447246	0.0155614748545732	0.00165196169485838	7	9
0	1	6451	0.283055043474495	0.451535993980337	FALSE	0.617021276595745	0.129013878064227	0.16998153442358	0.0954975676180675	0.002918199057966	8	8
0	1	2765	0.179836819239882	0.00175283913832846	FALSE	0.617021276595745	0.129013878064227	0.16998153442358	0.0954975676180675	0.002918199057966	8	8
0	1	9435	0.884490878712683	0.975503696002129	FALSE	0.617021276595745	0.129013878064227	0.16998153442358	0.0954975676180675	0.002918199057966	8	8
0	1	8495	0.252857823834649	0.174502322306713	TRUE	0.617021276595745	0.129013878064227	0.16998153442358	0.0954975676180675	0.002918199057966	8	8
0	1	7141	0.409935642415789	0.870026261837755	TRUE	0.617021276595745	0.129013878064227	0.16998153442358	0.0954975676180675	0.002918199057966	8	8
