"r"	"s"	"measurementID"	"pvalues"	"overallPvalues"	"monotonic"	"dfaSuccessRate"	"wilkesLambda"	"PillaiPval"	"HotellingPval"	"RoyPval"	"dfaID"	"nvars"
0.353483632311691	1	8381	-999	-999	FALSE	0.297872340425532	0.200496325943614	0.191752138788943	0.212513558056376	0.0346252283510832	1910	10
0.411922871740535	1	8478	-999	-999	FALSE	0.297872340425532	0.200496325943614	0.191752138788943	0.212513558056376	0.0346252283510832	1910	10
0.26666425979929	1	5779	-999	-999	FALSE	0.297872340425532	0.200496325943614	0.191752138788943	0.212513558056376	0.0346252283510832	1910	10
0.277156151714735	1	1341	-999	-999	FALSE	0.297872340425532	0.200496325943614	0.191752138788943	0.212513558056376	0.0346252283510832	1910	10
0.438947355304845	1	4628	-999	-999	FALSE	0.297872340425532	0.200496325943614	0.191752138788943	0.212513558056376	0.0346252283510832	1910	10
0.397392846678849	1	4281	-999	-999	FALSE	0.297872340425532	0.200496325943614	0.191752138788943	0.212513558056376	0.0346252283510832	1910	10
0.373360530508216	1	5786	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.338163492176682	1	9995	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.187879091408104	1	9446	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.0700489488663152	1	8658	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.242877291573677	1	1402	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.32179438326275	1	6474	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.0450257741846144	1	9086	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.150642559910193	1	9559	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.0111084121163003	1	5939	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.0511607706430368	1	311	-999	-999	FALSE	0.340425531914894	0.166987318834003	0.173507173371511	0.16570573620286	0.0244429288734577	1911	10
0.429301546316128	1	1078	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.304405077709816	1	214	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.163325926079415	1	4542	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.0594506235443987	1	5731	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.209088283579331	1	8184	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.16397689600708	1	789	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.0912283537443727	1	6380	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.151576999307144	1	532	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.0099392265197821	1	4481	-999	-999	FALSE	0.319148936170213	0.0317939245276181	0.0414768528892484	0.0259080419023919	0.00340430702574194	1912	9
0.0676534227328375	1	8374	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.224691017589066	1	735	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.403406961844303	1	1132	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.0244998838752508	1	7835	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.0644645575317554	1	4239	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.282069336692803	1	8102	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.337732895056251	1	6370	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.146104143653065	1	4538	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.142266039282549	1	9737	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.247704170504585	1	3907	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.17754461991135	1	7364	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.329623114143033	1	9294	-999	-999	FALSE	0.361702127659574	0.0498243804727369	0.0460474479995804	0.0543812167899205	0.00827877839865094	1913	12
0.338330294145271	1	8631	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.152383138169534	1	9952	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.119779498502612	1	6719	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.167560576403048	1	6100	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.393784820206929	1	7846	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.275900979316793	1	8913	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.237860001472291	1	7392	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.227452996966895	1	8629	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.403462375339586	1	8416	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.137347143189982	1	2406	-999	-999	FALSE	0.297872340425532	0.19900869726446	0.277789009719505	0.136018938826488	0.00305310888617201	1914	10
0.0547606701264158	1	2489	-999	-999	FALSE	0.25531914893617	0.154579360035383	0.185425910486059	0.128770861007733	0.00595909778904731	1915	7
0.0809669155511074	1	2631	-999	-999	FALSE	0.25531914893617	0.154579360035383	0.185425910486059	0.128770861007733	0.00595909778904731	1915	7
0.122732338949572	1	7917	-999	-999	FALSE	0.25531914893617	0.154579360035383	0.185425910486059	0.128770861007733	0.00595909778904731	1915	7
