"r"	"s"	"measurementID"	"dfaSuccessRate"	"wilkesLambda"	"PillaiPval"	"HotellingPval"	"RoyPval"	"dfaID"	"nvars"	"pvalues"	"overallPvalues"	"monotonic"
0.197004169214051	1	7626	0.191489361702128	0.459202515961485	0.408603383678314	0.511670282992524	0.249181608448615	1	8	0.528106037875334	0.554017572518721	FALSE
0.326521171163768	1	4194	0.191489361702128	0.459202515961485	0.408603383678314	0.511670282992524	0.249181608448615	1	8	0.465353126897342	0.359481861755751	TRUE
0.172126501961611	1	5189	0.191489361702128	0.459202515961485	0.408603383678314	0.511670282992524	0.249181608448615	1	8	0.836459254578012	0.157149749751526	FALSE
0.308649759809487	1	4035	0.191489361702128	0.459202515961485	0.408603383678314	0.511670282992524	0.249181608448615	1	8	0.956984551172819	0.47291877589343	FALSE
0.231770110758953	1	4926	0.191489361702128	0.459202515961485	0.408603383678314	0.511670282992524	0.249181608448615	1	8	0.381140953529129	0.65392107372876	FALSE
0.371539378794842	1	8979	0.191489361702128	0.459202515961485	0.408603383678314	0.511670282992524	0.249181608448615	1	8	0.659053618487682	0.433203043647793	TRUE
0.408401038264856	1	9944	0.191489361702128	0.459202515961485	0.408603383678314	0.511670282992524	0.249181608448615	1	8	0.824352393177047	0.827162149247985	FALSE
0.0740822882973589	1	9496	0.191489361702128	0.459202515961485	0.408603383678314	0.511670282992524	0.249181608448615	1	8	0.731853230801799	0.242174113545276	FALSE
0.309040350315627	1	7094	0.212765957446809	0.577071624348312	0.563347811697108	0.592849666999487	0.113049331707891	2	7	0.1860342581276	0.130760119682046	FALSE
0.164381722651888	1	1538	0.212765957446809	0.577071624348312	0.563347811697108	0.592849666999487	0.113049331707891	2	7	0.313108890811934	0.675767826231458	TRUE
0.225414535717573	1	9368	0.212765957446809	0.577071624348312	0.563347811697108	0.592849666999487	0.113049331707891	2	7	0.0224631956449153	0.0163958284350551	FALSE
0.322173809597734	1	1724	0.212765957446809	0.577071624348312	0.563347811697108	0.592849666999487	0.113049331707891	2	7	0.335298702554581	0.0988812400772641	TRUE
0.109949634550139	1	3579	0.212765957446809	0.577071624348312	0.563347811697108	0.592849666999487	0.113049331707891	2	7	0.486736607156838	0.00557938731431874	TRUE
0.106655438477173	1	3495	0.212765957446809	0.577071624348312	0.563347811697108	0.592849666999487	0.113049331707891	2	7	0.627765858408771	0.0349245776178151	FALSE
0.119779498502612	1	6719	0.212765957446809	0.577071624348312	0.563347811697108	0.592849666999487	0.113049331707891	2	7	0.787355134921716	0.0896442809366414	TRUE
0.340705809218343	1	1670	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.347477297527622	0.305064913489428	FALSE
0.0671697358950041	1	162	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.512899080967929	0.0270411837482532	FALSE
0.236867522844113	1	9812	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.798968790573698	0.797861451509353	FALSE
0.00345072486670688	1	5576	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.441339786414525	0.0214944148473235	TRUE
0.235613795486279	1	1388	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.201235798136294	5.96010826693647e-06	FALSE
0.108086962765083	1	6919	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.616089249007584	0.580859976422456	TRUE
0.259176110581029	1	1849	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.546746876225263	0.00553985971934303	TRUE
0.324367136985529	1	3888	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.426473332734015	0.162770623732253	TRUE
0.0705915180500597	1	9129	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.351433869483994	0.80539535977029	FALSE
0.369990071689244	1	8510	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.765730706840058	0.807815281466656	FALSE
0.220219243958127	1	4982	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.740353347438806	0.709543584033385	TRUE
0.193231549090706	1	4958	0.234042553191489	0.442118617248162	0.571167336832395	0.321286146159055	0.00664969312762905	3	12	0.938393283017564	0.278802349537681	TRUE
0.128626404935494	1	3944	0.276595744680851	0.22147507890826	0.198807546612711	0.249033391578477	0.0566582282726265	4	12	0.307413942473284	0.644907197481288	FALSE
0.211192804807797	1	5355	0.276595744680851	0.22147507890826	0.198807546612711	0.249033391578477	0.0566582282726265	4	12	0.937276912388787	0.783756707970913	TRUE
0.258545100688934	1	2038	0.276595744680851	0.22147507890826	0.198807546612711	0.249033391578477	0.0566582282726265	4	12	0.722332065135368	0.0542484155112647	FALSE
0.102907519822475	1	905	0.276595744680851	0.22147507890826	0.198807546612711	0.249033391578477	0.0566582282726265	4	12	0.579667240034852	0.774440042073057	FALSE
0.150333740736824	1	5946	0.276595744680851	0.22147507890826	0.198807546612711	0.249033391578477	0.0566582282726265	4	12	0.251660409721876	0.00864774914553724	FALSE
0.391328352608252	1	9733	0.276595744680851	0.22147507890826	0.198807546612711	0.249033391578477	0.0566582282726265	4	12	0.188668444298432	0.0998970278936669	TRUE
0.26623278100742	1	9734	0.276595744680851	0.22147507890826	0.198807546612711	0.249033391578477	0.0566582282726265	4	12	0.554938954496805	0.0657831968781979	TRUE
